code,candleDateTime,candleDateTimeKst,openingPrice,highPrice,lowPrice,tradePrice,candleAccTradeVolume,candleAccTradePrice,timestamp,prevClosingPrice,change,changePrice,signedChangePrice,changeRate,signedChangeRate,
CRIX.UPBIT.KRW-STEEM,2019-10-20T00:00:00+00:00,2019-10-20T09:00:00+09:00,170.0,176.0,163.0,166.0,2487467.04885895,424786174.4246283,1571615988642,168.0,FALL,2.0,-2.0,0.0119047619,-0.0119047619,
CRIX.UPBIT.KRW-STEEM,2019-10-19T00:00:00+00:00,2019-10-19T09:00:00+09:00,166.0,193.0,163.0,168.0,2322969.93301064,401488008.23149663,1571529302383,166.0,RISE,2.0,2.0,0.0120481928,0.0120481928,
CRIX.UPBIT.KRW-STEEM,2019-10-18T00:00:00+00:00,2019-10-18T09:00:00+09:00,176.0,184.0,163.0,166.0,1244545.31983174,213689496.59582946,1571443169228,176.0,FALL,10.0,-10.0,0.0568181818,-0.0568181818,
CRIX.UPBIT.KRW-STEEM,2019-10-17T00:00:00+00:00,2019-10-17T09:00:00+09:00,168.0,176.0,164.0,176.0,568233.83258751,96474063.17858034,1571356703754,167.0,RISE,9.0,9.0,0.0538922156,0.0538922156,
CRIX.UPBIT.KRW-STEEM,2019-10-16T00:00:00+00:00,2019-10-16T09:00:00+09:00,158.0,168.0,155.0,167.0,1382746.03163048,223942438.30125877,1571270390756,157.0,RISE,10.0,10.0,0.0636942675,0.0636942675,
CRIX.UPBIT.KRW-STEEM,2019-10-15T00:00:00+00:00,2019-10-15T09:00:00+09:00,164.0,164.0,156.0,157.0,470748.57672148,75141057.08809704,1571183678958,164.0,FALL,7.0,-7.0,0.0426829268,-0.0426829268,
CRIX.UPBIT.KRW-STEEM,2019-10-14T00:00:00+00:00,2019-10-14T09:00:00+09:00,164.0,165.0,161.0,164.0,524356.78991541,85199352.69848432,1571097493175,163.0,RISE,1.0,1.0,0.0061349693,0.0061349693,
CRIX.UPBIT.KRW-STEEM,2019-10-13T00:00:00+00:00,2019-10-13T09:00:00+09:00,163.0,166.0,162.0,163.0,353724.11161383,58136777.80091917,1571011054464,163.0,EVEN,0.0,None,0,0,
CRIX.UPBIT.KRW-STEEM,2019-10-12T00:00:00+00:00,2019-10-12T09:00:00+09:00,162.0,166.0,161.0,163.0,223826.01879884,36600996.87968887,1570924770441,161.0,RISE,2.0,2.0,0.0124223602,0.0124223602,
CRIX.UPBIT.KRW-STEEM,2019-10-11T00:00:00+00:00,2019-10-11T09:00:00+09:00,168.0,168.0,160.0,161.0,677961.09043594,110639741.14951207,1570838031239,166.0,FALL,5.0,-5.0,0.0301204819,-0.0301204819,
CRIX.UPBIT.KRW-STEEM,2019-10-10T00:00:00+00:00,2019-10-10T09:00:00+09:00,175.0,178.0,166.0,166.0,1084321.9735101,186396401.9547939,1570751638878,173.0,FALL,7.0,-7.0,0.0404624277,-0.0404624277,
CRIX.UPBIT.KRW-STEEM,2019-10-09T00:00:00+00:00,2019-10-09T09:00:00+09:00,178.0,181.0,169.0,173.0,1239003.3276122,217043249.24069032,1570665169844,177.0,FALL,4.0,-4.0,0.0225988701,-0.0225988701,
CRIX.UPBIT.KRW-STEEM,2019-10-08T00:00:00+00:00,2019-10-08T09:00:00+09:00,173.0,182.0,169.0,177.0,811297.68873455,143352168.94513375,1570579197956,171.0,RISE,6.0,6.0,0.0350877193,0.0350877193,
CRIX.UPBIT.KRW-STEEM,2019-10-07T00:00:00+00:00,2019-10-07T09:00:00+09:00,168.0,175.0,165.0,171.0,735024.06675464,124494765.16606449,1570492746841,167.0,RISE,4.0,4.0,0.0239520958,0.0239520958,
CRIX.UPBIT.KRW-STEEM,2019-10-06T00:00:00+00:00,2019-10-06T09:00:00+09:00,172.0,181.0,165.0,167.0,1503127.87875871,258101600.7786486,1570404216126,172.0,FALL,5.0,-5.0,0.0290697674,-0.0290697674,
CRIX.UPBIT.KRW-STEEM,2019-10-05T00:00:00+00:00,2019-10-05T09:00:00+09:00,174.0,175.0,164.0,172.0,1134814.43969905,192173973.16476086,1570319988019,176.0,FALL,4.0,-4.0,0.0227272727,-0.0227272727,
CRIX.UPBIT.KRW-STEEM,2019-10-04T00:00:00+00:00,2019-10-04T09:00:00+09:00,169.0,179.0,163.0,176.0,1218843.73410058,207974889.95711964,1570232906462,169.0,RISE,7.0,7.0,0.0414201183,0.0414201183,
CRIX.UPBIT.KRW-STEEM,2019-10-03T00:00:00+00:00,2019-10-03T09:00:00+09:00,168.0,173.0,166.0,169.0,2130970.40902924,362568815.27664006,1570147187301,167.0,RISE,2.0,2.0,0.0119760479,0.0119760479,
CRIX.UPBIT.KRW-STEEM,2019-10-02T00:00:00+00:00,2019-10-02T09:00:00+09:00,162.0,169.0,159.0,167.0,1432464.70315405,234906923.498471,1570060761258,161.0,RISE,6.0,6.0,0.0372670807,0.0372670807,
CRIX.UPBIT.KRW-STEEM,2019-10-01T00:00:00+00:00,2019-10-01T09:00:00+09:00,160.0,165.0,156.0,161.0,579043.17312798,93614139.39786886,1569974099087,158.0,RISE,3.0,3.0,0.0189873418,0.0189873418,
CRIX.UPBIT.KRW-STEEM,2019-09-30T00:00:00+00:00,2019-09-30T09:00:00+09:00,156.0,161.0,149.0,158.0,541199.70306042,83524025.83452304,1569887857281,156.0,RISE,2.0,2.0,0.0128205128,0.0128205128,
CRIX.UPBIT.KRW-STEEM,2019-09-29T00:00:00+00:00,2019-09-29T09:00:00+09:00,162.0,162.0,152.0,156.0,340284.99680676,53007626.07482846,1569801564692,160.0,FALL,4.0,-4.0,0.025,-0.025,
CRIX.UPBIT.KRW-STEEM,2019-09-28T00:00:00+00:00,2019-09-28T09:00:00+09:00,163.0,163.0,158.0,160.0,430232.51727392,68841482.92368571,1569715142105,161.0,FALL,1.0,-1.0,0.0062111801,-0.0062111801,
CRIX.UPBIT.KRW-STEEM,2019-09-27T00:00:00+00:00,2019-09-27T09:00:00+09:00,157.0,163.0,153.0,161.0,881977.67690045,139087656.5928306,1569628779766,156.0,RISE,5.0,5.0,0.0320512821,0.0320512821,
CRIX.UPBIT.KRW-STEEM,2019-09-26T00:00:00+00:00,2019-09-26T09:00:00+09:00,162.0,165.0,147.0,156.0,806651.83156109,125876049.60174482,1569542389659,161.0,FALL,5.0,-5.0,0.0310559006,-0.0310559006,
CRIX.UPBIT.KRW-STEEM,2019-09-25T00:00:00+00:00,2019-09-25T09:00:00+09:00,152.0,168.0,150.0,161.0,1679941.94664929,268364761.00837612,1569455633092,152.0,RISE,9.0,9.0,0.0592105263,0.0592105263,
CRIX.UPBIT.KRW-STEEM,2019-09-24T00:00:00+00:00,2019-09-24T09:00:00+09:00,186.0,193.0,147.0,152.0,1272100.19662489,223219349.42910266,1569369598109,186.0,FALL,34.0,-34.0,0.1827956989,-0.1827956989,
